Beta: {'plain_acc': 0.47, 'aug_pe': 0.77, 'layer-0': 5.7, 'layer-1': 0.1, 'layer-2': 0.2, 'layer_inter-0': 1.3, 'layer_inter-1': 3.8000000000000003}, Acc: 0.3621621621621622, layer AUC: [0.8778816231359204, 0.4288199599946201], graphMI AUC: 0.3741558929878748
Beta: {'plain_acc': 0.47, 'aug_pe': 0.71, 'layer-0': 5.0, 'layer-1': 0.2, 'layer-2': 0.0, 'layer_inter-0': 0.2, 'layer_inter-1': 4.800000000000001}, Acc: 0.3567567567567568, layer AUC: [0.49513958272134007, 0.435854889384835], graphMI AUC: 0.28456205021452635
Beta: {'plain_acc': 0.47, 'aug_pe': 0.72, 'layer-0': 5.2, 'layer-1': 0.5, 'layer-2': 1.0, 'layer_inter-0': 0.4, 'layer_inter-1': 4.7}, Acc: 0.34234234234234234, layer AUC: [0.9091430257531197, 0.424836017128195], graphMI AUC: 0.2904223622558902
Beta: {'plain_acc': 0.47, 'aug_pe': 0.73, 'layer-0': 0.2, 'layer-1': 0.9, 'layer-2': 0.1, 'layer_inter-0': 0.9, 'layer_inter-1': 4.5}, Acc: 0.24864864864864866, layer AUC: [0.8708798953039438, 0.6352769284114476], graphMI AUC: 0.2995066885729116
Beta: {'plain_acc': 0.47, 'aug_pe': 0.78, 'layer-0': 3.1, 'layer-1': 0.2, 'layer-2': 0.9, 'layer_inter-0': 0.2, 'layer_inter-1': 4.7}, Acc: 0.34054054054054056, layer AUC: [0.5233988594044897, 0.4341058713238086], graphMI AUC: 0.31932405013622994
Beta: {'plain_acc': 0.47, 'aug_pe': 0.52, 'layer-0': 5.7, 'layer-1': 1.2000000000000002, 'layer-2': 0.1, 'layer_inter-0': 1.0, 'layer_inter-1': 2.4000000000000004}, Acc: 0.3261261261261261, layer AUC: [0.9140855530871308, 0.46180142050070533], graphMI AUC: 0.44125963422847125
Beta: {'plain_acc': 0.47, 'aug_pe': 0.5, 'layer-0': 0.4, 'layer-1': 3.0, 'layer-2': 0.2, 'layer_inter-0': 1.1, 'layer_inter-1': 4.1000000000000005}, Acc: 0.24864864864864866, layer AUC: [0.9274949289758967, 0.5923792532487853], graphMI AUC: 0.3291135261113678
Beta: {'plain_acc': 0.47, 'aug_pe': 0.77, 'layer-0': 5.7, 'layer-1': 3.2, 'layer-2': 0.30000000000000004, 'layer_inter-0': 0.5, 'layer_inter-1': 3.7}, Acc: 0.3279279279279279, layer AUC: [0.8945876628490294, 0.4612520542596377], graphMI AUC: 0.3502125289135343
Beta: {'plain_acc': 0.47, 'aug_pe': 0.8, 'layer-0': 0.2, 'layer-1': 2.9000000000000004, 'layer-2': 1.2000000000000002, 'layer_inter-0': 1.0, 'layer_inter-1': 3.7}, Acc: 0.2936936936936937, layer AUC: [0.9041340195785027, 0.5444071229667576], graphMI AUC: 0.37327637560272725
Beta: {'plain_acc': 0.47, 'aug_pe': 0.77, 'layer-0': 0.2, 'layer-1': 0.5, 'layer-2': 0.30000000000000004, 'layer_inter-0': 1.2000000000000002, 'layer_inter-1': 4.3}, Acc: 0.24864864864864866, layer AUC: [0.8921448110234776, 0.5729407125186797], graphMI AUC: 0.3030803031532839
Beta: {'plain_acc': 0.47, 'aug_pe': 0.74, 'layer-0': 5.0, 'layer-1': 0.8, 'layer-2': 2.7, 'layer_inter-0': 0.2, 'layer_inter-1': 1.3}, Acc: 0.32972972972972975, layer AUC: [0.9113467062715418, 0.4215361994482331], graphMI AUC: 0.3677452503691358
