Beta: {'plain_acc': 0.47, 'aug_pe': 0.03, 'layer-0': 0.005, 'layer-1': 0.005, 'layer-2': 0.004, 'layer_inter-0': 0.01, 'layer_inter-1': 0.006}, Acc: 0.26666666666666666, layer AUC: [0.9290108482907093, 0.6909046181775514], graphMI AUC: 0.43613255200598294
Beta: {'plain_acc': 0.47, 'aug_pe': 0.15, 'layer-0': 0.005, 'layer-1': 0.005, 'layer-2': 0.008, 'layer_inter-0': 0.007, 'layer_inter-1': 0.006}, Acc: 0.2810810810810811, layer AUC: [0.9216479633585706, 0.17115423272408495], graphMI AUC: 0.47741136014570085
Beta: {'plain_acc': 0.47, 'aug_pe': 0.03, 'layer-0': 0.005, 'layer-1': 0.006, 'layer-2': 0.006, 'layer_inter-0': 0.004, 'layer_inter-1': 0.006}, Acc: 0.31891891891891894, layer AUC: [0.8950259601745921, 0.6947289765645772], graphMI AUC: 0.4670786601581999
Beta: {'plain_acc': 0.47, 'aug_pe': 0.04, 'layer-0': 0.023, 'layer-1': 0.007, 'layer-2': 0.006, 'layer_inter-0': 0.004, 'layer_inter-1': 0.006}, Acc: 0.26666666666666666, layer AUC: [0.8861350126478899, 0.691144970351709], graphMI AUC: 0.4048337444522876
Beta: {'plain_acc': 0.47, 'aug_pe': 0.02, 'layer-0': 0.005, 'layer-1': 0.004, 'layer-2': 0.003, 'layer_inter-0': 0.01, 'layer_inter-1': 0.006}, Acc: 0.25765765765765763, layer AUC: [0.8762259339633675, 0.7807328836368909], graphMI AUC: 0.5085017151029017


Beta: {'plain_acc': 0.47, 'aug_pe': 0.03, 'layer-0': 0.005, 'layer-1': 0.005, 'layer-2': 0.004, 'layer_inter-0': 0.01, 'layer_inter-1': 0.006}, Acc: 0.26666666666666666, layer AUC: [0.8946953308049431, 0.489820326787668], graphMI AUC: 0.43613255200598294
Beta: {'plain_acc': 0.47, 'aug_pe': 0.15, 'layer-0': 0.005, 'layer-1': 0.005, 'layer-2': 0.008, 'layer_inter-0': 0.007, 'layer_inter-1': 0.006}, Acc: 0.2810810810810811, layer AUC: [0.9122497239256773, 0.5788805553169325], graphMI AUC: 0.47741136014570085
Beta: {'plain_acc': 0.47, 'aug_pe': 0.03, 'layer-0': 0.005, 'layer-1': 0.006, 'layer-2': 0.006, 'layer_inter-0': 0.004, 'layer_inter-1': 0.006}, Acc: 0.31891891891891894, layer AUC: [0.8725235946063564, 0.5420126944022375], graphMI AUC: 0.4670786601581999
Beta: {'plain_acc': 0.47, 'aug_pe': 0.04, 'layer-0': 0.023, 'layer-1': 0.007, 'layer-2': 0.006, 'layer_inter-0': 0.004, 'layer_inter-1': 0.006}, Acc: 0.26666666666666666, layer AUC: [0.8734721039614126, 0.6425961145710999], graphMI AUC: 0.4048337444522876
Beta: {'plain_acc': 0.47, 'aug_pe': 0.02, 'layer-0': 0.005, 'layer-1': 0.004, 'layer-2': 0.003, 'layer_inter-0': 0.01, 'layer_inter-1': 0.006}, Acc: 0.25765765765765763, layer AUC: [0.8539747439379876, 0.5725919214178523], graphMI AUC: 0.5085017151029017


Beta: {'plain_acc': 0.47, 'aug_pe': 0.03, 'layer-0': 0.005, 'layer-1': 0.006, 'layer-2': 0.006, 'layer_inter-0': 0.004, 'layer_inter-1': 0.006}, Acc: 0.31891891891891894, layer AUC: [0.8725235946063564, 0.5420126944022375], graphMI AUC: 0.4670786601581999
